Title,Section,call_number,MinCredit,MaxCredit,MaxEnrollment,Cur_Enroll,Status,StartDate,EndDate,Instructor,Term,Meeting_day,start_time,end_time,site,Building,Room,Activity,control,Argument,value,Operator
Pathophysiology,BME 665WS,11882,3,3,80,0,X,2019-08-26Z,2019-12-20Z,Verma S,2019F,TBA,NA,NA,WS,OFF,WEB,LEC,NA,,,
Biomechanics of the Brain,BME 692A,12401,3,3,0,0,O,2019-08-26Z,2019-12-20Z,Weickenmeier J,2019F,F,11:00:00Z,13:30:00Z,Castle Point,E,330,LEC,NA,,,
Bio/Nano Photonics,BME 695A,10078,3,3,0,0,X,2019-08-26Z,2019-12-20Z,Tian F,2019F,M,8:00:00Z,10:45:00Z,Castle Point,,,LEC,NA,,,
Seminar in Biomedical Eng.,BME 700A,10079,0,0,0,0,C,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,SEM,NA,,,
Curricular Practical Training,BME 702A,10080,1,3,999,2,O,2019-08-26Z,2019-12-20Z,Staff A,2019F,TBA,NA,NA,Castle Point,OFF,TBA,LEC,NA,,,
Spec Rsrch Prob BME(MEN),BME 800A,10081,1,6,0,2,C,2019-08-26Z,2019-12-20Z,Shady S,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Spec Rsrch Prob BME(MEN),BME 800B,10082,1,6,999,1,O,2019-08-26Z,2019-12-20Z,Nataraj R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Spec Rsrch Prob BME(MEN),BME 800C,10083,1,6,999,0,O,2019-08-26Z,2019-12-20Z,Staff A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Spec Rsrch Prob BME(MEN),BME 800D,12524,1,6,0,1,C,2019-08-26Z,2019-12-20Z,McConnell G,2019F,NA,NA,NA,NA,NA,NA,NA,NA,,,
Special Prob BME (PHD),BME 801A,10084,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Zaferiou A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Prob BME (PHD),BME 801B,10085,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Wang H,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Prob BME (PHD),BME 801C,10086,1,6,999,1,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Prob BME (PHD),BME 801D,12484,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Vinjamuri R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Special Prob BME (PHD),BME 801E,12622,1,6,0,1,C,2019-08-26Z,2019-12-20Z,Nataraj R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Biomedical Signals Processing,BME 810A,10087,3,60,10,1,O,2019-08-26Z,2019-12-20Z,Ascione A,2019F,T,14:30:00Z,17:00:00Z,Castle Point,X,003,LEC,NA,,,
Thesis in Biomedical Engineering,BME 900A,12360,1,10,0,1,C,2019-08-26Z,2019-12-20Z,Nataraj R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Thesis in Biomedical Engineering,BME 900B,10088,1,10,999,0,O,2019-08-26Z,2019-12-20Z,Staff A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
BME Project (ME),BME 901A,10089,1,9,30,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
BME Dsgn Proj (Deg BME),BME 950A,10090,1,15,999,0,O,2019-08-26Z,2019-12-20Z,STAFF,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960A,12408,1,60,0,1,C,2019-08-26Z,2019-12-20Z,Zaferiou A,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960B,10091,1,60,0,1,C,2019-08-26Z,2019-12-20Z,Wang H,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960C,10092,1,60,0,0,C,2019-08-26Z,2019-12-20Z,Perlman C,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960D,10093,1,60,999,1,O,2019-08-26Z,2019-12-20Z,McConnell G,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960E,10094,1,60,999,2,O,2019-08-26Z,2019-12-20Z,Vinjamuri R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960F,10095,1,60,999,0,O,2019-08-26Z,2019-12-20Z,Yu X,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960G,12490,1,12,0,2,C,2019-08-26Z,2019-12-20Z,Kim J,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Research in BME (PHD),BME 960H,12623,1,60,0,1,C,2019-08-26Z,2019-12-20Z,Nataraj R,2019F,TBA,NA,NA,Castle Point,N/A,N/A,LEC,NA,,,
Seminar in Business,BT 181A,10096,1,1,40,40,C,2019-08-26Z,2019-12-20Z,Omelianuk S,2019F,M,12:00:00Z,12:50:00Z,Castle Point,P,120,SEM,NA,NA,NA,NA
Financial Accounting,BT 200A,10097,3,3,40,39,O,2019-08-26Z,2019-12-20Z,Henry E,2019F,M,9:00:00Z,10:15:00Z,Castle Point,BC,319,LEC,NA,NA,NA,NA
Financial Accounting,BT 200B,10098,3,3,40,39,O,2019-08-26Z,2019-12-20Z,Henry E,2019F,M,11:00:00Z,12:15:00Z,Castle Point,X,106,LEC,NA,NA,NA,NA
Financial Accounting,BT 200C,10099,3,3,40,39,O,2019-08-26Z,2019-12-20Z,Rozario A,2019F,M,11:00:00Z,12:15:00Z,Castle Point,X,104,LEC,NA,NA,NA,NA
Marketing Analytics & Research,BT 214A,10100,3,3,40,30,O,2019-08-26Z,2019-12-20Z,Sabnis G,2019F,T,10:00:00Z,11:15:00Z,Castle Point,B,430,LEC,NA,,BT  113,
Statistics,BT 221A,10101,3,3,40,43,C,2019-08-26Z,2019-12-20Z,Lee C,2019F,T,5:30:00Z,6:45:00Z,Castle Point,X,218A,LEC,NA,NA,NA,NA
Statistics,BT 221B,10102,3,3,40,44,C,2019-08-26Z,2019-12-20Z,Lee C,2019F,T,7:00:00Z,8:15:00Z,Castle Point,X,218B,LEC,NA,NA,NA,NA
Applied Models & Simulation,BT 223A,10104,3,3,50,57,C,2019-08-26Z,2019-12-20Z,Ryan K,2019F,M,7:00:00Z,8:15:00Z,Castle Point,C,316,LEC,NA,,,
Applied Models & Simulation,BT 223B,10105,3,3,50,52,C,2019-08-26Z,2019-12-20Z,Ryan K,2019F,M,12:30:00Z,13:45:00Z,Castle Point,C,316,LEC,NA,,,
Macroeconomics,BT 243A,10106,3,3,45,45,C,2019-08-26Z,2019-12-20Z,Wu Y,2019F,T,8:30:00Z,9:45:00Z,Castle Point,M,103,LEC,NA,NA,NA,NA
Macroeconomics,BT 243B,10107,3,3,45,45,C,2019-08-26Z,2019-12-20Z,Wu Y,2019F,T,10:00:00Z,11:15:00Z,Castle Point,M,103,LEC,NA,NA,NA,NA
Microeconomics,BT 244A,10108,3,3,50,50,C,2019-08-26Z,2019-12-20Z,Anderson R,2019F,T,8:30:00Z,9:45:00Z,Castle Point,C,316,LEC,NA,NA,NA,NA
